Key,Source,Context,Changes,English,French,German,Klingon,Spanish
animalFatDesc,items,Item,EnChanged,Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Organic[-]\n\nAnimal fat can be cooked down to tallow at a campfire. This is used for making candles and flaming arrows.,,,,
animalFeed,items,Food,,Animal Feed,,,,
animalFeedDesc,items,Food,,Animal feed is used in crafting animal snares and chicken coops.,,,,
animalGoredesc,blocks,Block,kgNone,Beware this will attract screamers!,,,,
animalHide,items,Item,KgNone,Animal Hide,,,,
animalHideBoots,items,Clothes,KgNone,Animal Hide Boots,,,,
animalHideBootsBlack,items,Clothes,,Animal Hide Boots (Black),,,,
animalHideBootsBlue,items,Clothes,,Animal Hide Boots (Blue),,,,
animalHideBootsDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHideBootsGreen,items,Clothes,,Animal Hide Boots (Green),,,,
animalHideBootsLime,items,Clothes,,Animal Hide Boots (Lime),,,,
animalHideBootsOrange,items,Clothes,,Animal Hide Boots (Orange),,,,
animalHideBootsPurple,items,Clothes,,Animal Hide Boots (Purple),,,,
animalHideBootsRed,items,Clothes,,Animal Hide Boots (Red),,,,
animalHideChestArmor,items,Clothes,KgNone,Animal Hide Chest Armor,,,,
animalHideChestArmorDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHideClothesGroupDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\nAnimal hide provides sound protection against cold weather and a fair job against other damage types. Doesnt necessarily have to be made of Animal.,,,,
animalHideDesc,items,Item,EnChanged,Type: [decea3]Resource[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\nUse animal hide to make warm clothing and leather.,,,,
animalHideGloves,items,Clothes,KgNone,Animal Hide Gloves,,,,
animalHideGlovesBlack,items,Clothes,,Animal Hide Gloves (Black),,,,
animalHideGlovesBlue,items,Clothes,,Animal Hide Gloves (Blue),,,,
animalHideGlovesDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHideGlovesGreen,items,Clothes,,Animal Hide Gloves (Green),,,,
animalHideGlovesLime,items,Clothes,,Animal Hide Gloves (Lime),,,,
animalHideGlovesOrange,items,Clothes,,Animal Hide Gloves (Orange),,,,
animalHideGlovesPurple,items,Clothes,,Animal Hide Gloves (Purple),,,,
animalHideGlovesRed,items,Clothes,,Animal Hide Gloves (Red),,,,
animalHideHood,items,Clothes,KgNone,Animal Hide Hood,,,,
animalHideHoodBlack,items,Clothes,,Animal Hide Hood (Black),,,,
animalHideHoodBlue,items,Clothes,,Animal Hide Hood (Blue),,,,
animalHideHoodDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHideHoodGreen,items,Clothes,,Animal Hide Hood (Green),,,,
animalHideHoodLime,items,Clothes,,Animal Hide Hood (Lime),,,,
animalHideHoodOrange,items,Clothes,,Animal Hide Hood (Orange),,,,
animalHideHoodPurple,items,Clothes,,Animal Hide Hood (Purple),,,,
animalHideHoodRed,items,Clothes,,Animal Hide Hood (Red),,,,
animalHideJacket,items,Clothes,KgNone,Animal Hide Jacket,,,,
animalHideJacketBlack,items,Clothes,,Animal Hide Jacket (Black),,,,
animalHideJacketBlue,items,Clothes,,Animal Hide Jacket (Blue),,,,
animalHideJacketDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHideJacketGreen,items,Clothes,,Animal Hide Jacket (Green),,,,
animalHideJacketLime,items,Clothes,,Animal Hide Jacket (Lime),,,,
animalHideJacketOrange,items,Clothes,,Animal Hide Jacket (Orange),,,,
animalHideJacketPurple,items,Clothes,,Animal Hide Jacket (Purple),,,,
animalHideJacketRed,items,Clothes,,Animal Hide Jacket (Red),,,,
animalHideLegArmor,items,Clothes,EnChanged,Animal Hide Pants,,,,
animalHideLegArmorDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHidePants,items,Clothes,KgNone,Animal Hide Leg Armor,,,,
animalHidePantsBlack,items,Clothes,,Animal Hide Pants (Black),,,,
animalHidePantsBlue,items,Clothes,,Animal Hide Pants (Blue),,,,
animalHidePantsDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
animalHidePantsGreen,items,Clothes,,Animal Hide Pants (Green),,,,
animalHidePantsLime,items,Clothes,,Animal Hide Pants (Lime),,,,
animalHidePantsOrange,items,Clothes,,Animal Hide Pants (Orange),,,,
animalHidePantsPurple,items,Clothes,,Animal Hide Pants (Purple),,,,
animalHidePantsRed,items,Clothes,,Animal Hide Pants (Red),,,,
animalHidePoncho,items,Clothes,EnChanged,Leather Poncho,,,,
animalHidePonchoDesc,items,Clothes,New,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Leather[-]\n\nThis poncho provides a little protection and helps you survive hot weather.,,,,
animalPig,entityclasses,Entity,KgNone,Pig,,,,
animalRabbit,entityclasses,Entity,KgNone,Rabbit,,,,
animalSnare,blocks,Traps,,Animal Snare,,,,
animalSnareDesc,blocks,Traps,,Place and wait for this trap to spring to catch an animal.,,,,
animalStag,entityclasses,Entity,KgNone,Stag,,,,
animalZombieDog,entityclasses,Entity,KgNone,Zombie Dog,,,,
animalZombieVulture,entityclasses,Entity,New,Zombie Vulture,,,,
antibiotics,items,Medical,KgNone,Antibiotics,,,,
antibiotics2Desc,items,Item,,Antibiotics can cure infections and dysentery. Can be crafted in the chemistry station.,,,,
antibioticsDesc,items,Medical,KgNone,Type: [decea3]Medicine[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Chemistry Station[-]\nMaterial: [decea3]Chemical mixture[-]\n\nAntibiotics can cure early stage infections and dysentery.,,,,
anvil,items,Item,KgNone,Anvil,,,,
anvilDesc,items,Item,KgNone,Type: [decea3]Tool[-] [CCCCCC](Common)[-]\nUsed: [decea3]Forge[-]\nCrafted: [decea3]Forge[-]\nRequires: [decea3]Blacksmith (Level 1)[-]\nMaterial: [decea3]Iron[-]\n\nA tool used in the forge to unlock recipes.,,,,
appleCider,items,Food,,Apple Cider,,,,
appleCiderDesc,items,Food,,"Gain stamina, bravado and a big ego all in one bottle of this tasty home brewed cider made from fresh apples.",,,,
applePie,items,Food,,Apple Pie,,,,
appleSeedDesc,blocks,Block,,Plant these seeds in dirt to grow a apple tree. When it is grown green harvest it with your hands to ensure you get the most apples.,,,,
archerDesc,progression,Skill,,"Learn how to craft an iron bow, iron crossbow and crossbow repeater.",,,,
archery,progression,Skill,KgNone,Archery,,,,
archeryDesc,progression,Skill,KgNone,Do more damage with bows and crossbows. Gain skill by using items from this group.,,,,
armLength,UI,Menu UMA,KgNone,Arm Length,,,,
armorSmithing,progression,Skill,LEGACY,Armor Smithing,,,,
ArmoryDesc,blocks,Block Building,,This workstation is used to craft Armors and Ammunition.,,,,
armWidth,UI,Menu UMA,KgNone,Arm Width,,,,
armyPants,items,Clothes,KgNone,BDU Bottoms,,,,
armyPantsDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA suprisingly clean pre-apocalypse military uniform,,,,
armyShirt,items,Clothes,KgNone,BDU Top,,,,
armyShirtDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA suprisingly clean pre-apocalypse military uniform,,,,
arrow,items,Ammo,EnChanged,Arrow (Ammo),,,,
arrowCriticalBleedout,buffs,Buff,KgNone,Bleeding,,,,
arrowCriticalBleedoutDesc,buffs,Buff,KgNone,You are bleeding profusely. Use a bandage to stop the bleeding.,,,,
arrowCriticalBleedoutTooltip,buffs,Buff,KgNone,You are bleeding profusely. Use a bandage to stop the bleeding.,,,,
arrowDesc,items,Ammo,KgNone,Type: [decea3]Ammunition[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Iron[-]\n\nBow ammunition. Hold [decea3]Reload Button[-] to switch between ammo types.,,,,
arrowHelper,blocks,Block,New,Arrow Helper,,,,
arrowSlit,blocks,Block,New,Arrow Slit,,,,
asphalt,blocks,Terrain,KgNone,Asphalt,,,,
asphaltDesc,blocks,Terrain,KgNone,Type: [decea3]Terrain Block[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Concrete Mixer[-]\nMaterial: [decea3]Stone[-]\n\nAsphalt is made in a cement mixer and is a common material for building or repairing roads.,,,,
assaultrifles,progression,Skill,KgNone,Rifles,,,,
assaultriflesDesc,progression,Skill,KgNone,Do more damage with assault rifles.,,,,
assortedDyes,items,Item,,Assorted Dyes,,,,
assortedDyesDesc,items,Item,,This can be useful at a Dye Station for coloring fabric armors.,,,,
assortedVegetables,items,Food,,Assorted Vegetables,,,,
athletics,progression,Skill,KgNone,Athletics,,,,
athleticsDesc,progression,Skill,KgNone,Slow down stamina loss and hold your breath longer as you gain athletics skill. Increase this skill by running or punching.,,,,
auger,items,Tool,KgNone,Iron Blade Auger,,,,
augerDesc,items,Tool,KgNone,Type: [decea3]Handheld Tool[-] [4FCBFF](Rare)[-]\nUses: [decea3]Gasoline[-]\nTank Size: [decea3]500[-]\nMaterial: [decea3]Iron[-]\n\nBe the king of all miners with this amazing iron blade auger.Repairing or re-assembling requires schematic.,,,,
augerDiamondTipped,items,Tool,,Auger Diamond Tipped,,,,
augerSchematic,items,Book,KgNone,Auger Schematic,,,,
augerSchematicDesc,items,Book,KgNone,Type: [decea3]Schematic[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Paper[-]\n\nLearn how to repair and assemble augers by reading this schematic.,,,,
augerSchematicDesc2,items,Book,KgNone,Pages from an auger manual. Most are illegible but if you read enough you'll eventually be able to assemble an auger.,,,,
auth_Banned,UI,AuthenticationMessages,New,You are banned until {0},,,,
auth_DuplicatePlayerID,UI,AuthenticationMessages,New,Your Steam account is already playing on this server!,,,,
auth_DuplicatePlayerName,UI,AuthenticationMessages,New,The player name '{0}' already exits on the server! Please choose a different one,,,,
auth_EmptyNameOrPlayerID,UI,AuthenticationMessages,New,Your player name may not be empty!,,,,
auth_InvalidAuthTicket,UI,AuthenticationMessages,New,Your authentication data is invalid!,,,,
auth_InvalidSteamID,UI,AuthenticationMessages,New,Your SteamID is invalid!,,,,
auth_ManualKick,UI,AuthenticationMessages,New,You have been kicked.,,,,
auth_messageTitle,UI,AuthenticationMessages,New,Server disconnected you:,,,,
auth_NotOnWhitelist,UI,AuthenticationMessages,New,You are not on the whitelist of the server!,,,,
auth_PlayerLimitExceeded,UI,AuthenticationMessages,New,Too many players on the server! Allowed: {0},,,,
auth_PlayerLimitExceededNonVIP,UI,AuthenticationMessages,New,All non-reserved slots on this server are already in use! Non-reserved slots: {0},,,,
auth_reason,UI,AuthenticationMessages,KgNone,Reason: {0},,,,
auth_stillloading,UI,AuthenticationMessages,New,"Server is still initializing, please try again in a minute.",,,,
auth_unknown,UI,AuthenticationMessages,New,Unknown reason. Please report this incident on the official forum.,,,,
auth_VersionMismatch,UI,AuthenticationMessages,New,Game Version Mismatch: you have '{0}' and server has '{1}',,,,
authstate_authenticated,UI,AuthenticationMessages,New,Receiving game data ...,,,,
authstate_eac,UI,AuthenticationMessages,New,Waiting for EAC verification ...,,,,
authstate_steam,UI,AuthenticationMessages,New,Waiting for Steam verification ...,,,,
autoFloorDesc,blocks,Block Building,,"These blocks will automatically ""pour"" out in an area like water.",,,,
autoTurret,blocks,Electricity,New,Auto Turret,,,,
autoTurretDesc,blocks,Electricity,New,"A motion sensing bullet hose. No really, this thing eats ammunition.",,,,
AutoWall_Concrete,blocks,Block,,AutoWall Concrete,,,,
AutoWall_Reinforced_Concrete,blocks,Block,,AutoWall Reinforced Concrete,,,,
AutoWall_Wood,blocks,Block,,AutoWall Wood,,,,
autoWallDesc,blocks,Block Building,,When placed on the ground these blocks will automatically grow up to a stack of 5 blocks high.,,,,
aviatorGoggles,items,Clothes,KgNone,Aviator Goggles,,,,
aviatorGogglesDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAviator goggles provide a little face protection and make you look really cool.,,,,
awningBlock,blocks,Block,KeyChanged EnChanged,Awning Block,,,,
awningCNRFull,blocks,Block,KeyChanged EnChanged,Awning Corner Full,,,,
awningCNRInside,blocks,Block,KeyChanged EnChanged,Awning Corner Inside,,,,
awningCNRRound,blocks,Block,KeyChanged EnChanged,Awning Corner Round,,,,
awningCNRRoundTop,blocks,Block,New,Awning Corner Round Top,,,,
awningGable,blocks,Block,KeyChanged EnChanged,Awning Gable,,,,
awningGroupDesc,blocks,Block,KgNone,An awning made from cloth.,,,,
awningPyramid,blocks,Block,KeyChanged EnChanged,Awning Pyramid,,,,
awningRamp,blocks,Block,KeyChanged EnChanged,Awning Ramp,,,,
axesDesc,progression,Skill,,Do more damage with axes and harvest resources faster. Gain skill by using items from this group.,,,,
axesTitle,progression,Skill,,Axes,,,,
backpackDropped,UI,Menu,KgNone,Dropped Backpack,,,,
baconAndEggs,items,Food,KgNone,Bacon and Eggs,,,,
baconAndEggsDesc,items,Food,GrChanged,"Type: [decea3]Meal[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Campfire, Oven, Wall Oven[-]\nMaterial: [decea3]Organic[-]\n\nBacon and eggs will really fill you up and boost your wellness. Cholesterol is the least of your worries now.",,,,
baconEggSandwich,items,Food,,Bacon Egg Sandwich,,,,
badMechanic,progression,Skill,New,Bad Mechanic,,,,
badMechanicDesc,progression,Skill,New,Putting things back together has never been your strong point but you get more useful items when taking them apart. Receive more resources when harvesting with construction tools.,,,,
bagChips,items,Item,,Bag of Chips,,,,
bagChipsDesc,items,Item,,A bag of crispy salted potato chips.,,,,
bagChipsHot,items,Item,,Bag of Spicy Chips,,,,
bagChipsHotDesc,items,Item,,A bag of crispy salted potato chips. They're hot and best eaten with a drink at the ready.,,,,
BaitedSnareCaptured,blocks,Traps,,(Captured) Animal Snare,,,,
bakedesc,buffs,Buff,KgNone,Holy shit dude lay off the cigars. You gotta get some work done.,,,,
bakedPotato,items,Food,KgNone,Baked Potato,,,,
bakedPotatoDesc,items,Food,KgNone,"Type: [decea3]Food[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Campfire, Oven, Wall Oven[-]\nMaterial: [decea3]Organic[-]\n\nA nutritious baked potato full of carbohydrates. Great for couch potatoes too.",,,,
ballCap,items,Clothes,EnChanged KgNone,White Baseball Cap,,,,
ballCapBlack,items,Clothes,New,Black Baseball Cap,,,,
ballCapBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
ballCapBlue,items,Clothes,New,Blue Baseball Cap,,,,
ballCapBlueDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
ballCapBrown,items,Clothes,New,Brown Baseball Cap,,,,
ballCapBrownDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
ballcapDark,items,Clothes,,Dark Ballcap,,,,
ballCapDesc,items,Clothes,KgNone,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA baseball cap provides limited warmth and defense against other damage types.,,,,
ballCapGreen,items,Clothes,New,Green Baseball Cap,,,,
ballCapGreenDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
ballcapOrange,items,Clothes,,Orange Ballcap,,,,
ballcapPurple,items,Clothes,,Purple Ballcap,,,,
ballCapRed,items,Clothes,New,Red Baseball Cap,,,,
ballCapRedDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
ballisticFiber,items,Item,KgNone,Ballistic Fiber,,,,
ballisticFiberDesc,items,Item,,Type: [decea3]Resource[-] [4FCBFF](Rare)[-]\n\nPre-apocalypse synthetic fibers like Kevlar or Nomex.,,,,
bandage,items,Medical,KgNone,Bandage,,,,
bandageDesc,items,Medical,KgNone,Type: [decea3]Medicine[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Cloth[-]\n\nA simple bandage that can stop bleeding.,,,,
bandana,items,Clothes,KgNone,Bandana,,,,
bandanaBlack,items,Clothes,KgNone,Black Bandana,,,,
bandanaBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nThis black bandana is printed with AC/DC what ever that is.,,,,
bandanaBlue,items,Clothes,KgNone,Blue Bandana,,,,
bandanaBlueDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nThis particular one looks like it belonged to a solid operative.,,,,
bandanaBrown,items,Clothes,KgNone,Brown Bandana,,,,
bandanaBrownDesc,items,Item,,"Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nIts brown, your not sure what color it would be if you washed it.",,,,
bandanaCamo,items,Clothes,,Camo Bandana,,,,
bandanaClothesGroupDesc,items,Clothes,EnChanged,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nProvides little protection against damage.,,,,
